Year,State,Net_Overseas_Migration,Population,Net_Migration_per_1000
2019,New South Wales,19821.0,8059862.5,2.4592230946867892
2019,Northern Territory,247.75,246366.25,1.0056166378308717
2019,Queensland,8478.75,5099858.5,1.6625461275053024
2019,South Australia,4160.75,1770804.5,2.349638257639395
2019,Tasmania,991.75,549232.75,1.8057007707570243
2019,Victoria,21265.75,6553492.25,3.244949286390016
2019,Western Australia,6376.25,2668077.75,2.3898291569651597
2020,Australian Capital Territory,-117.75,445334.25,-0.26440813838145166
2020,New South Wales,1750.5,8103954.0,0.21600566834411944
2020,Northern Territory,15.25,247492.75,0.06161796658690001
2020,Queensland,-249.75,5169329.5,-0.048313809363477414
2020,South Australia,1014.0,1791223.5,0.5660935109437767
2020,Tasmania,157.0,558715.25,0.28100181622033765
2020,Victoria,-5104.25,6597578.5,-0.7736550614744485
2020,Western Australia,1289.0,2716862.5,0.4744443268660081
2021,Australian Capital Territory,-194.5,452871.0,-0.42948212625670446
2021,New South Wales,3182.5,8100963.25,0.39285451640581137
2021,Northern Territory,311.75,249075.25,1.2516297785508597
2021,Queensland,-67.75,5223765.75,-0.012969570850300857
2021,South Australia,301.5,1803203.75,0.1672024029453133
2021,Tasmania,366.75,567379.25,0.6463930431012413
2021,Victoria,-1340.0,6550313.25,-0.20457036921096866
2021,Western Australia,-239.25,2751823.25,-0.08694235721716502
2022,Australian Capital Territory,1741.25,462676.5,3.7634286591171153
2022,New South Wales,36829.25,8205814.25,4.488189578505265
2022,Northern Territory,906.75,253726.25,3.5737335021504473
2022,Queensland,17167.75,5328344.75,3.2219668218727775
2022,South Australia,6574.75,1829210.75,3.5943097316697923
2022,Tasmania,1096.5,572454.25,1.9154369104605302
2022,Victoria,33495.0,6641224.25,5.04349781593356
2022,Western Australia,11634.0,2806946.25,4.14471776935522
2023,Australian Capital Territory,1966.0,472301.0,4.1625996980738975
2023,New South Wales,43039.0,8379347.0,5.136319095032107
2023,Northern Territory,1139.25,257915.0,4.417152937983444
2023,Queensland,21836.0,5467117.75,3.9940606730118438
2023,South Australia,7197.5,1861339.25,3.8668394275788254
2023,Tasmania,1198.25,573900.0,2.0879073009235056
2023,Victoria,38913.5,6820288.5,5.705550432360743
2023,Western Australia,17357.0,2903320.75,5.9783267143322005
2024,Australian Capital Territory,1169.75,479310.5,2.4404848214257773
2024,New South Wales,25508.25,8508082.0,2.998119905285351
2024,Northern Territory,797.25,261165.5,3.052662009338906
2024,Queensland,14302.25,5583672.0,2.561441646285813
2024,South Australia,4890.5,1884784.5,2.594726346699052
2024,Tasmania,911.75,575046.25,1.5855246425830967
2024,Victoria,24616.25,6967466.0,3.533027645918904
2024,Western Australia,11437.0,2986343.75,3.829766750729885
2025,Australian Capital Territory,2341.0,483767.0,4.839106429334783
2025,New South Wales,32990.0,8579219.0,3.845338369378378
2025,Northern Territory,1040.0,263417.0,3.9481126882471522
2025,Queensland,18344.0,5647468.0,3.2481813088626623
2025,South Australia,6482.0,1898587.0,3.414117972997814
2025,Tasmania,815.0,576109.0,1.4146628502592393
2025,Victoria,34665.0,7053122.0,4.9148448020607045
2025,Western Australia,13378.0,3030183.0,4.41491487477819
