Year,State,Net_Overseas_Migration
2021,New South Wales,3182.5
2021,Northern Territory,311.75
2021,Queensland,-67.75
2021,South Australia,301.5
2021,Tasmania,366.75
2021,Victoria,-1340.0
2021,Western Australia,-239.25
2022,Australian Capital Territory,1741.25
2022,New South Wales,36829.25
2022,Northern Territory,906.75
2022,Queensland,17167.75
2022,South Australia,6574.75
2022,Tasmania,1096.5
2022,Victoria,33495.0
2022,Western Australia,11634.0
2023,Australian Capital Territory,1966.0
2023,New South Wales,43039.0
2023,Northern Territory,1139.25
2023,Queensland,21836.0
2023,South Australia,7197.5
2023,Tasmania,1198.25
2023,Victoria,38913.5
2023,Western Australia,17357.0
2024,Australian Capital Territory,1169.75
2024,New South Wales,25508.25
2024,Northern Territory,797.25
2024,Queensland,14302.25
2024,South Australia,4890.5
2024,Tasmania,911.75
2024,Victoria,24616.25
2024,Western Australia,11437.0
2025,Australian Capital Territory,2341.0
2025,New South Wales,32990.0
2025,Northern Territory,1040.0
2025,Queensland,18344.0
2025,South Australia,6482.0
2025,Tasmania,815.0
2025,Victoria,34665.0
2025,Western Australia,13378.0
